iter	RMSE
0	77900.62494
1	76446.24005
2	74931.55377
3	73513.59548
4	72136.06261
5	70819.36262
6	69501.12523
7	68333.70136
8	67188.01462
9	66055.4329
10	64808.4671
11	63693.80275
12	62580.03368
13	61511.76978
14	60460.13476
15	59431.33344
16	58485.24221
17	57465.39252
18	56498.23453
19	55632.05765
20	54757.61256
21	53906.28188
22	53105.12372
23	52256.55437
24	51451.89669
25	50714.88439
26	50025.73129
27	49394.69957
28	48730.17924
29	48001.86382
30	47361.96635
31	46678.04196
32	46006.24224
33	45389.73155
34	44823.34341
35	44242.99873
36	43680.17317
37	43167.62173
38	42626.83564
39	42134.02937
40	41635.52692
41	41096.96269
42	40662.60154
43	40208.61201
44	39765.70047
45	39335.43629
46	38854.72654
47	38447.66119
48	38044.50493
49	37685.2684
50	37277.16346
51	36929.83475
52	36594.60352
53	36225.51175
54	35881.63732
55	35557.75177
56	35255.40513
57	34945.6823
58	34619.84759
59	34354.87838
60	34012.42492
61	33731.87826
62	33457.47914
63	33149.73825
64	32901.26045
65	32592.2318
66	32333.23716
67	31994.62086
68	31737.06008
69	31482.82954
70	31258.87924
71	31048.71869
72	30833.08002
73	30604.39772
74	30371.17897
75	30172.18777
76	29961.22851
77	29760.74287
78	29561.14368
79	29349.96023
80	29125.17289
81	28939.76619
82	28737.52715
83	28544.92704
84	28357.42638
85	28164.70244
86	28040.1013
87	27870.79821
88	27714.51212
89	27542.85819
90	27413.44339
91	27257.19284
92	27105.96185
93	26991.10865
94	26842.05703
95	26712.12449
96	26584.2951
97	26452.82173
98	26339.25694
99	26187.21576
100	26032.02511
101	25913.64663
102	25759.88328
103	25613.50965
104	25509.29353
105	25393.90062
106	25262.33267
107	25144.6578
108	25012.21001
109	24926.77327
110	24837.14271
111	24757.03082
112	24653.28897
113	24543.04971
114	24462.75391
115	24340.66348
116	24247.51588
117	24160.35607
118	24076.38943
119	23984.50199
120	23907.18029
121	23831.30318
122	23734.08033
123	23640.02767
124	23560.72612
125	23493.03684
126	23389.967
127	23308.48356
128	23218.46746
129	23156.13296
130	23066.55664
131	23000.1121
132	22927.82917
133	22850.46975
134	22791.84116
135	22724.67392
136	22645.77378
137	22555.04322
138	22502.70776
139	22452.16828
140	22393.29709
141	22336.97484
142	22273.97855
143	22221.95238
144	22169.06144
145	22092.40508
146	22021.80997
147	21940.67782
148	21856.08465
149	21782.31286
150	21721.31296
151	21665.53963
152	21605.23436
153	21561.81887
154	21526.83327
155	21459.72794
156	21402.67331
157	21356.88196
158	21321.26662
159	21280.50875
160	21224.19927
161	21191.74203
162	21173.74213
163	21127.22508
164	21082.16245
165	21035.49657
166	20995.37572
167	20963.42289
168	20941.32189
169	20898.01527
170	20854.18109
171	20812.75339
172	20757.95035
173	20713.93249
174	20676.10714
175	20635.90088
176	20623.95592
177	20591.32168
178	20555.58611
179	20508.25524
180	20467.33964
181	20445.23227
182	20397.97187
183	20364.42361
184	20315.26656
185	20268.72691
186	20238.03165
187	20197.1113
188	20180.80746
189	20137.18295
190	20102.21662
191	20061.98663
192	20038.24369
193	19993.49829
194	19955.42223
195	19926.07586
196	19892.95214
197	19871.36219
198	19844.94442
199	19808.82782
200	19768.66561
201	19725.76901
202	19694.63589
203	19658.3224
204	19631.63077
205	19603.74201
206	19587.75466
207	19549.55388
208	19501.68513
209	19465.51484
210	19435.24513
211	19412.75732
212	19398.62927
213	19369.73304
214	19356.11126
215	19340.87279
216	19312.56084
217	19278.10305
218	19266.2939
219	19242.11319
220	19191.33462
221	19148.67157
222	19120.30984
223	19081.17837
224	19057.21313
225	19042.44017
226	19015.03281
227	18982.98078
228	18961.64661
229	18939.23709
230	18906.06268
231	18879.73971
232	18844.94961
233	18823.34582
234	18808.14206
235	18777.96291
236	18752.12398
237	18724.1138
238	18692.59995
239	18670.84638
240	18638.60522
241	18614.252
242	18589.51124
243	18556.4832
244	18521.09691
245	18499.36378
246	18476.31183
247	18457.46164
248	18426.42689
249	18401.69067
250	18382.2425
251	18352.5236
252	18318.6217
253	18284.66925
254	18263.09329
255	18224.80626
256	18209.98418
257	18181.3499
258	18173.84761
259	18148.79322
260	18119.06095
261	18108.08972
262	18101.72612
263	18085.44566
264	18065.89736
265	18051.27297
266	18038.35414
267	18007.11069
268	17979.43565
269	17955.91898
270	17923.58996
271	17899.81261
272	17884.29609
273	17877.59387
274	17854.15389
275	17835.1812
276	17817.93792
277	17809.96837
278	17775.06356
279	17755.74076
280	17737.23916
281	17724.7221
282	17692.87799
283	17672.20528
284	17640.38975
285	17597.62424
286	17575.36053
287	17557.38473
288	17548.49
289	17523.09482
290	17503.14519
291	17484.22422
292	17460.56443
293	17441.15909
294	17435.58144
295	17406.28255
296	17385.38259
297	17358.85659
298	17328.35313
299	17322.46857
300	17291.61753
301	17271.35483
302	17264.95981
