iter	Passed	Remaining
0	21	42291
1	27	27499
2	32	21688
3	37	18916
4	43	17494
5	49	16350
6	54	15433
7	59	14881
8	65	14402
9	70	13947
10	75	13701
11	81	13420
12	86	13175
13	91	12971
14	96	12766
15	101	12642
16	107	12509
17	112	12365
18	117	12262
19	122	12137
20	127	12041
21	133	11970
22	138	11926
23	143	11854
24	149	11791
25	154	11725
26	159	11645
27	164	11591
28	169	11530
29	174	11480
30	179	11427
31	184	11371
32	190	11336
33	195	11303
34	200	11258
35	205	11211
36	211	11199
37	216	11175
38	221	11138
39	226	11107
40	231	11067
41	236	11028
42	241	11006
43	246	10969
44	251	10929
45	256	10896
46	261	10860
47	266	10822
48	271	10790
49	275	10752
50	280	10721
51	285	10697
52	290	10669
53	295	10639
54	300	10616
55	305	10597
56	310	10576
57	315	10554
58	319	10526
59	324	10501
60	329	10479
61	334	10460
62	339	10436
63	344	10415
64	349	10394
65	354	10374
66	358	10356
67	363	10332
68	368	10313
69	373	10296
70	378	10277
71	382	10255
72	387	10236
73	392	10222
74	397	10204
75	402	10193
76	407	10181
77	412	10166
78	417	10146
79	422	10138
80	428	10150
81	433	10134
82	438	10121
83	443	10106
84	447	10090
85	452	10075
86	457	10060
87	462	10044
88	467	10029
89	471	10016
90	477	10007
91	481	9996
92	486	9979
93	491	9965
94	496	9958
95	501	9953
96	506	9939
97	511	9936
98	516	9924
99	521	9911
100	527	9916
101	532	9904
102	537	9893
103	542	9884
104	546	9871
105	551	9858
106	556	9847
107	561	9833
108	566	9821
109	570	9809
110	575	9799
111	580	9788
112	585	9777
113	590	9767
114	595	9754
115	599	9742
116	604	9734
117	609	9722
118	614	9713
119	619	9703
120	624	9694
121	629	9683
122	633	9671
123	638	9665
124	643	9658
125	648	9647
126	653	9638
127	658	9629
128	663	9619
129	667	9608
130	672	9598
131	677	9587
132	682	9578
133	687	9570
134	692	9560
135	696	9551
136	702	9546
137	706	9536
138	711	9526
139	716	9517
140	721	9510
141	726	9502
142	731	9493
143	735	9482
144	740	9477
145	745	9473
146	750	9464
147	755	9456
148	760	9447
149	765	9438
150	770	9429
151	774	9420
152	779	9412
153	784	9404
154	789	9399
155	794	9391
156	799	9386
157	805	9387
158	810	9389
159	817	9403
160	823	9405
161	829	9412
162	835	9418
163	841	9425
164	848	9433
165	854	9439
166	860	9445
167	866	9452
168	872	9456
169	878	9461
170	885	9468
171	891	9478
172	898	9484
173	903	9479
174	908	9470
175	912	9460
176	917	9449
177	922	9440
178	927	9431
179	931	9422
180	936	9414
181	941	9405
182	946	9397
183	951	9388
184	956	9381
185	960	9371
186	965	9362
187	970	9354
188	975	9344
189	979	9335
190	984	9328
191	989	9320
192	994	9312
193	1000	9309
194	1004	9301
195	1009	9293
196	1014	9284
197	1019	9276
198	1024	9270
199	1029	9262
200	1033	9252
201	1038	9243
202	1043	9237
203	1048	9229
204	1052	9220
205	1057	9213
206	1062	9205
207	1067	9197
208	1072	9190
209	1077	9184
210	1082	9177
211	1087	9169
212	1092	9161
213	1097	9155
214	1101	9148
215	1106	9141
216	1111	9133
217	1116	9124
218	1121	9121
219	1126	9114
220	1131	9106
221	1136	9101
222	1141	9093
223	1145	9085
224	1150	9078
225	1155	9070
226	1160	9062
227	1165	9055
228	1169	9048
229	1174	9040
230	1179	9033
231	1184	9025
232	1189	9018
233	1194	9011
234	1199	9006
235	1203	8999
236	1208	8990
237	1213	8983
238	1218	8976
239	1223	8969
240	1228	8963
241	1232	8956
242	1237	8948
243	1242	8942
244	1247	8935
245	1252	8927
246	1257	8923
247	1262	8915
248	1266	8908
249	1271	8900
250	1276	8894
251	1281	8886
252	1285	8878
253	1290	8872
254	1295	8864
255	1300	8858
256	1305	8852
257	1309	8844
258	1314	8836
259	1319	8829
260	1324	8822
261	1328	8814
262	1333	8807
263	1338	8800
264	1343	8793
265	1348	8787
266	1352	8780
267	1358	8779
268	1364	8778
269	1369	8776
270	1374	8769
271	1379	8764
272	1384	8757
273	1388	8748
274	1393	8742
275	1398	8735
276	1403	8728
277	1407	8720
278	1412	8714
279	1417	8706
280	1422	8700
281	1426	8693
282	1431	8687
283	1436	8680
284	1441	8675
285	1446	8670
286	1451	8662
287	1456	8656
288	1461	8651
289	1466	8644
290	1470	8638
291	1475	8631
292	1480	8625
293	1485	8619
294	1490	8613
295	1495	8607
296	1500	8601
297	1504	8595
298	1509	8590
299	1514	8583
300	1519	8576
301	1524	8571
302	1529	8564
303	1534	8559
304	1538	8552
305	1543	8546
306	1548	8540
307	1553	8533
308	1558	8527
309	1563	8521
310	1568	8516
311	1573	8510
312	1578	8505
313	1583	8500
314	1587	8493
315	1592	8487
316	1597	8481
317	1602	8474
318	1607	8469
319	1612	8463
320	1616	8457
321	1622	8455
322	1627	8450
323	1632	8445
324	1637	8440
325	1642	8435
326	1647	8431
327	1653	8427
328	1658	8422
329	1663	8416
330	1668	8412
331	1673	8407
